c,h,l,n,o,t,v,vw
60161.3,60161.3,60161.3,0,60161.3,2024-05-01T03:48:00Z,0.0,0.0
60177.35,60177.35,60177.35,0,60177.35,2024-05-01T03:50:00Z,0.0,0.0
60222.1985,60222.1985,60222.1985,0,60222.1985,2024-05-01T03:51:00Z,0.0,0.0
60270.2885,60270.2885,60244.7265,0,60244.7265,2024-05-01T03:52:00Z,0.0,0.0
60292.85,60292.85,60292.85,0,60292.85,2024-05-01T03:57:00Z,0.0,0.0
60264.021,60264.021,60264.021,0,60264.021,2024-05-01T03:58:00Z,0.0,0.0
60232.65,60232.65,60232.65,0,60232.65,2024-05-01T04:00:00Z,0.0,0.0
60258.735,60258.735,60258.735,0,60258.735,2024-05-01T04:01:00Z,0.0,0.0
60308.55,60308.55,60308.55,0,60308.55,2024-05-01T04:03:00Z,0.0,0.0
60348.6,60348.6,60348.6,0,60348.6,2024-05-01T04:04:00Z,0.0,0.0
60301.75,60301.75,60301.75,0,60301.75,2024-05-01T04:05:00Z,0.0,0.0
60274.75,60274.75,60274.75,0,60274.75,2024-05-01T04:06:00Z,0.0,0.0
60263.785,60309.435,60263.785,0,60309.435,2024-05-01T04:08:00Z,0.0,0.0
60230.2495,60230.2495,60230.2495,0,60230.2495,2024-05-01T04:10:00Z,0.0,0.0
60268.91,60268.91,60268.91,0,60268.91,2024-05-01T04:12:00Z,0.0,0.0
60299.903,60332.7,60299.903,0,60306.05,2024-05-01T04:13:00Z,0.0,0.0
60271.331,60271.331,60271.331,0,60271.331,2024-05-01T04:15:00Z,0.0,0.0
60297.694,60297.694,60297.694,0,60297.694,2024-05-01T04:16:00Z,0.0,0.0
60282.5805,60282.5805,60282.5805,0,60282.5805,2024-05-01T04:18:00Z,0.0,0.0
60291.923,60291.923,60291.923,0,60291.923,2024-05-01T04:19:00Z,0.0,0.0
60241.475,60277.852,60241.475,0,60277.852,2024-05-01T04:26:00Z,0.0,0.0
60209.7885,60209.7885,60209.7885,0,60209.7885,2024-05-01T04:27:00Z,0.0,0.0
60246.15,60246.15,60246.15,0,60246.15,2024-05-01T04:30:00Z,0.0,0.0
60251.125,60279.455,60251.125,0,60279.455,2024-05-01T04:31:00Z,0.0,0.0
60277.66,60277.66,60277.66,0,60277.66,2024-05-01T04:33:00Z,0.0,0.0
60307.49,60307.49,60307.49,0,60307.49,2024-05-01T04:38:00Z,0.0,0.0
60242.715,60279.1885,60242.715,0,60279.1885,2024-05-01T04:41:00Z,0.0,0.0
60270.0905,60270.0905,60270.0905,0,60270.0905,2024-05-01T04:42:00Z,0.0,0.0
60271.8145,60271.8145,60231.533,0,60231.533,2024-05-01T04:47:00Z,0.0,0.0
60280.95,60280.95,60280.95,0,60280.95,2024-05-01T04:48:00Z,0.0,0.0
60261.553,60261.553,60261.553,0,60261.553,2024-05-01T04:50:00Z,0.0,0.0
60206.46,60206.46,60206.46,0,60206.46,2024-05-01T04:52:00Z,0.0,0.0
60240.966,60240.966,60240.966,0,60240.966,2024-05-01T04:53:00Z,0.0,0.0
60272.31,60272.31,60272.31,0,60272.31,2024-05-01T04:54:00Z,0.0,0.0
60321.09,60321.09,60321.09,0,60321.09,2024-05-01T04:55:00Z,0.0,0.0
60273.639,60273.639,60273.639,0,60273.639,2024-05-01T04:58:00Z,0.0,0.0
60315.235,60315.235,60315.235,0,60315.235,2024-05-01T05:00:00Z,0.0,0.0
60263.55,60263.55,60263.55,0,60263.55,2024-05-01T05:08:00Z,0.0,0.0
60216.084,60231.64,60216.084,0,60231.64,2024-05-01T05:11:00Z,0.0,0.0
60169.534,60174.0865,60141.825,0,60174.0865,2024-05-01T05:12:00Z,0.0,0.0
60175.205,60216.65,60175.205,0,60216.65,2024-05-01T05:15:00Z,0.0,0.0
60145.423,60145.423,60145.423,0,60145.423,2024-05-01T05:16:00Z,0.0,0.0
60145.9565,60192.5,60145.9565,0,60192.5,2024-05-01T05:17:00Z,0.0,0.0
60176.9105,60176.9105,60176.9105,0,60176.9105,2024-05-01T05:19:00Z,0.0,0.0
60145.05,60145.05,60145.05,0,60145.05,2024-05-01T05:21:00Z,0.0,0.0
60124.54,60124.54,60124.54,0,60124.54,2024-05-01T05:22:00Z,0.0,0.0
60087.6855,60087.6855,60087.6855,0,60087.6855,2024-05-01T05:23:00Z,0.0,0.0
60115.209,60115.209,60115.209,0,60115.209,2024-05-01T05:24:00Z,0.0,0.0
60078.8915,60078.8915,60078.8915,0,60078.8915,2024-05-01T05:25:00Z,0.0,0.0
60028.9215,60050.835,60028.9215,0,60050.835,2024-05-01T05:27:00Z,0.0,0.0
60042.886,60042.886,60042.886,0,60042.886,2024-05-01T05:28:00Z,0.0,0.0
60055.782,60055.782,60011.55,0,60011.55,2024-05-01T05:29:00Z,0.0,0.0
