,open_time,open,close,high,low,close.1,vol,close_time,quote_volume,trade_count,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,rsi_val
63,1503010980000,4336.8,4336.8,4336.8,4336.8,0.155255,1503011039999,673.309884,4,0.155255,673.309884,0,neutral
64,1503011040000,4336.8,4336.8,4336.8,4336.8,0.018,1503011099999,78.0624,1,0.018,78.0624,0,neutral
65,1503011100000,4336.8,4336.8,4336.8,4336.8,0.289674,1503011159999,1256.2582032,4,0.289674,1256.2582032,0,neutral
66,1503011160000,4336.8,4336.8,4336.8,4336.8,0.0,1503011219999,0.0,0,0.0,0.0,0,neutral
67,1503011220000,4322.74,4336.8,4322.74,4336.28,3.134318,1503011279999,13581.70347446,9,1.312232,5690.39773692,0,neutral
68,1503011280000,4336.28,4336.28,4336.28,4336.28,0.0,1503011339999,0.0,0,0.0,0.0,0,neutral
69,1503011340000,4336.28,4336.28,4336.28,4336.28,0.055189,1503011399999,239.31495692,3,0.055189,239.31495692,0,neutral
70,1503011400000,4336.28,4337.38,4336.28,4337.38,0.429878,1503011459999,1864.44087814,4,0.429878,1864.44087814,0,neutral
71,1503011460000,4313.57,4337.38,4313.57,4337.38,3.898021,1503011519999,16816.43017632,6,3.898021,16816.43017632,0,neutral
72,1503011520000,4336.38,4336.38,4336.38,4336.38,3.982158,1503011579999,17268.15030804,6,3.982158,17268.15030804,0,neutral
73,1503011580000,4336.38,4337.38,4300.0,4337.38,0.517417,1503011639999,2233.79728272,5,0.164106,711.79008228,0,neutral
74,1503011640000,4323.31,4323.31,4323.31,4323.31,0.1819,1503011699999,786.410089,2,0.1819,786.410089,0,neutral
75,1503011700000,4337.38,4337.38,4337.38,4337.38,2.109273,1503011759999,9148.71852474,5,0.914146,3964.99857748,0,neutral
76,1503011760000,4332.27,4332.27,4332.27,4332.27,0.694874,1503011819999,3010.38178398,4,0.694874,3010.38178398,0,neutral
77,1503011820000,4332.27,4332.27,4332.27,4332.27,0.232515,1503011879999,1007.31775905,1,0.0,0.0,0,neutral
78,1503011880000,4337.36,4337.36,4337.36,4337.36,0.266714,1503011939999,1156.83463504,2,0.266714,1156.83463504,0,neutral
79,1503011940000,4318.68,4337.36,4318.68,4337.36,4.228973,1503011999999,18273.05549956,4,4.228973,18273.05549956,0,neutral
80,1503012000000,4337.36,4337.36,4337.36,4337.36,0.426092,1503012059999,1848.11439712,2,0.426092,1848.11439712,0,neutral
81,1503012060000,4337.36,4337.36,4337.36,4337.36,0.396746,1503012119999,1720.83023056,4,0.0,0.0,0,neutral
82,1503012120000,4337.36,4337.36,4337.36,4337.36,3.502093,1503012179999,15189.83809448,8,3.502093,15189.83809448,0,neutral
83,1503012180000,4337.36,4337.36,4337.36,4337.36,1.412583,1503012239999,6126.88100088,12,0.0,0.0,0,neutral
84,1503012240000,4337.38,4337.38,4337.38,4337.38,1.501304,1503012299999,6511.72594352,8,1.501304,6511.72594352,0,neutral
85,1503012300000,4318.68,4337.38,4318.68,4337.38,3.76391,1503012359999,16255.6132463,2,3.76391,16255.6132463,0,neutral
86,1503012360000,4337.38,4337.38,4337.38,4337.38,0.250726,1503012419999,1087.49393788,2,0.250726,1087.49393788,0,neutral
87,1503012420000,4329.0,4329.0,4329.0,4329.0,0.471262,1503012479999,2040.093198,3,0.471262,2040.093198,0,neutral
88,1503012480000,4329.0,4329.0,4329.0,4329.0,0.1042,1503012539999,451.0818,1,0.1042,451.0818,0,neutral
89,1503012540000,4329.0,4329.0,4327.89,4327.89,1.774568,1503012599999,7681.42285248,11,1.450136,6277.316844,0,neutral
90,1503012600000,4327.89,4327.89,4327.89,4327.89,0.331568,1503012659999,1434.98983152,4,0.073568,318.39421152,0,neutral
91,1503012660000,4327.89,4332.26,4327.89,4332.26,0.408371,1503012719999,1767.99651475,4,0.139988,606.46441288,0,neutral
92,1503012720000,4332.26,4332.26,4332.26,4332.26,0.025,1503012779999,108.3065,1,0.025,108.3065,0,neutral
93,1503012780000,4332.26,4332.26,4332.26,4332.26,0.125806,1503012839999,545.02430156,5,0.125806,545.02430156,0,neutral
94,1503012840000,4332.26,4332.26,4332.26,4332.26,0.040722,1503012899999,176.41829172,3,0.040722,176.41829172,0,neutral
95,1503012900000,4332.26,4332.26,4332.26,4332.26,0.0,1503012959999,0.0,0,0.0,0.0,0,neutral
96,1503012960000,4332.26,4332.26,4332.26,4332.26,0.31325,1503013019999,1357.080445,3,0.31325,1357.080445,0,neutral
97,1503013020000,4332.26,4332.26,4332.26,4332.26,0.14932,1503013079999,646.8930632,4,0.14932,646.8930632,0,neutral
98,1503013080000,4332.26,4332.26,4332.26,4332.26,0.120446,1503013139999,521.80338796,4,0.120446,521.80338796,0,neutral
99,1503013140000,4332.26,4332.26,4332.26,4332.26,0.101869,1503013199999,441.32299394,3,0.101869,441.32299394,0,neutral
