open_time,open,close,high,low,close,vol,close_time,quote_volume,trade_count,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
1745312700000,88466.44000000,88466.45000000,88401.60000000,88401.61000000,12.85383000,1745312759999,1136778.74818710,1489,2.42702000,214629.25175240,0
1745312760000,88401.61000000,88401.61000000,88384.15000000,88399.99000000,5.23572000,1745312819999,462807.70510510,593,2.02252000,178768.51457480,0
1745312820000,88400.00000000,88400.00000000,88399.99000000,88399.99000000,1.89628000,1745312879999,167631.13734930,229,0.43121000,38118.96400000,0
1745312880000,88399.99000000,88400.00000000,88399.99000000,88400.00000000,4.33715000,1745312939999,383404.03108300,312,1.44545000,127777.78000000,0
1745312940000,88399.99000000,88400.00000000,88399.99000000,88399.99000000,7.42911000,1745312999999,656733.25628960,324,0.65807000,58173.38800000,0
1745313000000,88400.00000000,88400.00000000,88369.15000000,88369.15000000,7.73817000,1745313059999,683939.80916380,707,0.22780000,20135.44218750,0
1745313060000,88369.15000000,88380.82000000,88335.62000000,88342.05000000,11.83923000,1745313119999,1046038.21917160,1123,3.23725000,286033.00619210,0
1745313120000,88342.05000000,88342.06000000,88312.70000000,88341.08000000,10.99740000,1745313179999,971428.83737920,1114,1.48951000,131560.71418620,0
1745313180000,88341.08000000,88357.09000000,88341.08000000,88346.38000000,16.95910000,1745313239999,1498331.03016760,817,4.21054000,371983.85406160,0
1745313240000,88346.38000000,88346.39000000,88335.77000000,88344.60000000,3.57186000,1745313299999,315548.27310000,468,1.39279000,123039.60137730,0
1745313300000,88344.60000000,88344.60000000,88321.10000000,88325.87000000,7.87876000,1745313359999,695948.05059150,860,3.08203000,272226.11150200,0
1745313360000,88325.86000000,88351.62000000,88324.81000000,88344.97000000,19.06747000,1745313419999,1684535.90461520,750,17.74049000,1567301.69602170,0
1745313420000,88344.97000000,88355.22000000,88339.61000000,88355.21000000,9.01554000,1745313479999,796462.52325090,510,6.92711000,611958.27106990,0
1745313480000,88355.21000000,88355.22000000,88332.52000000,88343.23000000,5.54228000,1745313539999,489631.01891220,733,3.00909000,265827.92554270,0
1745313540000,88343.24000000,88376.77000000,88340.08000000,88376.77000000,5.93590000,1745313599999,524479.77611500,861,5.02391000,443904.86592460,0
1745313600000,88376.77000000,88413.45000000,88359.72000000,88413.45000000,9.92194000,1745313659999,876853.20447420,1237,5.20271000,459795.96728320,0
1745313660000,88413.45000000,88414.30000000,88388.89000000,88388.90000000,5.76735000,1745313719999,509841.15267060,776,3.24046000,286455.45437380,0
1745313720000,88388.90000000,88388.90000000,88367.92000000,88367.93000000,3.38906000,1745313779999,299500.88240500,527,1.04461000,92312.42490260,0
1745313780000,88367.92000000,88434.65000000,88367.92000000,88427.94000000,20.15551000,1745313839999,1781504.91679970,1168,10.48910000,927114.34867760,0
1745313840000,88427.94000000,88445.61000000,88427.93000000,88436.77000000,4.45204000,1745313899999,393723.77236210,489,3.59608000,318022.57774180,0
1745313900000,88436.77000000,88459.97000000,88436.76000000,88459.96000000,12.25014000,1745313959999,1083432.15245630,662,10.75926000,951553.05473650,0
1745313960000,88459.96000000,88459.97000000,88459.96000000,88459.96000000,3.10367000,1745314019999,274550.54616100,276,2.21078000,195565.53247660,0
1745314020000,88459.96000000,88499.99000000,88459.96000000,88491.90000000,28.05947000,1745314079999,2483149.23234500,1227,4.59695000,406762.55085990,0
1745314080000,88491.90000000,88492.81000000,88490.86000000,88492.81000000,6.06073000,1745314139999,536319.66435890,371,3.61908000,320255.68543860,0
1745314140000,88492.82000000,88528.83000000,88492.81000000,88528.83000000,36.10529000,1745314199999,3195295.43138830,1147,14.13986000,1251370.96442050,0
1745314200000,88528.82000000,88528.83000000,88500.40000000,88528.82000000,8.46580000,1745314259999,749296.46590900,981,4.71459000,417258.98446100,0
1745314260000,88528.82000000,88528.82000000,88487.10000000,88502.56000000,5.82896000,1745314319999,515921.80259100,969,1.74671000,154588.52063540,0
1745314320000,88502.57000000,88502.57000000,88462.38000000,88476.11000000,5.73310000,1745314379999,507269.02318620,961,1.09891000,97226.08776070,0
1745314380000,88476.11000000,88490.13000000,88476.11000000,88477.55000000,3.03301000,1745314439999,268368.63486960,568,1.65892000,146782.63644940,0
1745314440000,88477.54000000,88484.88000000,88476.12000000,88476.13000000,3.31029000,1745314499999,292899.55643450,404,1.50405000,133078.97881910,0
1745314500000,88476.13000000,88508.85000000,88476.12000000,88480.01000000,6.65654000,1745314559999,589089.76386430,850,2.68494000,237582.25710950,0
